"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4074","MINPP1",-1.6838619819,6.72786276685,-10.3316097910916,3.88476806413185e-10,1.19852538110154e-06,13.310126297088
"2877","HS3ST3B1",-1.7892801649,7.59334004625,-10.2537617493305,4.48998019893183e-10,1.19852538110154e-06,13.1721541417661
"7674","ZFP3",-1.6160476847,6.68356629035,-9.91414458005981,8.51644709634338e-10,1.41719784509032e-06,12.5607523704002
"5167","PPIL1",-1.8410510928,6.8238097321,-9.79881273588125,1.06183654727047e-09,1.41719784509032e-06,12.3495724882834
"1791","DUSP6",-1.95551105436667,11.05860489815,-9.37197373761341,2.43700258081954e-09,2.15101538741549e-06,11.5520661430192
"2721","HBEGF",2.49009099035,8.814404206175,9.28921154488335,2.87056822253146e-09,2.15101538741549e-06,11.3944964462044
"5077","PLPP6",-1.6219177045,6.84047106905,-9.26777176253059,2.99537674148891e-09,2.15101538741549e-06,11.3535206612244
"3752","LRIF1",-1.9435987441,7.65326193045,-8.93677324761275,5.82192564048339e-09,2.74459331729791e-06,10.7126716883683
"3496","LINC00324",-1.6108309503,8.47775204075,-8.87990246070776,6.53544980996725e-09,2.74459331729791e-06,10.6009968262161
"2443","GIMAP6",-2.0294073933,9.90088646915,-8.81027732386445,7.53345285308548e-09,2.74459331729791e-06,10.4636479440726
"5071","PLK2",2.1210700732,6.2302906708,8.80984674015514,7.54009153103822e-09,2.74459331729791e-06,10.4627963790961
"3211","JUN",2.556852251175,9.8181284951875,8.76052204240598,8.34195622302875e-09,2.85444681652939e-06,10.3650713437129
"3240","KCNJ2",-2.4982163561,6.87226470525,-8.63124648188083,1.08883241652842e-08,3.02132680326593e-06,10.1072881365487
"4340","NAMPT",1.540449475725,10.3813632945625,8.50790824414283,1.40679917014846e-08,3.15794015178443e-06,9.85910652210144
"5679","RNASEL",-1.7608472422,7.9076900117,-8.50472010068746,1.41618470976955e-08,3.15794015178443e-06,9.85266231330505
"5118","POLB",1.7571722517,6.20461327965,8.42150133909135,1.68541040139877e-08,3.46070935753881e-06,9.68393413562205
"3663","LOC102724428",2.218512078,9.743685115,8.26570667430058,2.34036633131427e-08,3.82482726146218e-06,9.36537359514407
"6082","SIK1",2.218512078,9.743685115,8.26570667430058,2.34036633131427e-08,3.82482726146218e-06,9.36537359514407
"6981","TNFAIP8L2",-1.5780715003,8.84583196985,-8.17706886087598,2.82506426544763e-08,4.35059896878934e-06,9.18257013181863
"5398","QNG1",-2.2114059071,6.77049971115,-7.97654039775395,4.34151537978364e-08,5.32386829050035e-06,8.76483056804946
"7778","ZNF260",-1.5992665964,6.35850609675,-7.80320627702177,6.32158691517595e-08,6.24978617490482e-06,8.39908492037176
"7641","ZC3HAV1L",-1.5526892171,6.28889572995,-7.6119169294927,9.61469635940358e-08,7.91571877848707e-06,7.99046594166668
"514","ATP2B1-AS1",2.0732367514,10.5933167853,7.60851607881284,9.68706843521145e-08,7.91571877848707e-06,7.98315417266
"6350","SNORD3A",2.3821549995,10.14887922625,7.54274844889378,1.12022549707696e-07,8.46298658546446e-06,7.84143266197007
"6351","SNORD3B-1",2.3821549995,10.14887922625,7.54274844889378,1.12022549707696e-07,8.46298658546446e-06,7.84143266197007
"6352","SNORD3B-2",2.3821549995,10.14887922625,7.54274844889378,1.12022549707696e-07,8.46298658546446e-06,7.84143266197007
"6353","SNORD3C",2.3821549995,10.14887922625,7.54274844889378,1.12022549707696e-07,8.46298658546446e-06,7.84143266197007
