"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"1","201465_s_at",2.78432643181164,9.75138673444699,8.39693900694548,1.0726109382126e-08,1.0726109382126e-05,10.0553479957793,"JUN","3725","Jun proto-oncogene, AP-1 tr..."
"2","203821_at",2.75722309719664,9.15261947076491,7.75050105264617,4.58216382974975e-08,1.18061548610564e-05,8.67053887734495,"HBEGF","1839","heparin binding EGF like gr..."
"3","206978_at",-2.62784846997756,9.54841678983641,-7.74648122795173,4.62452815381973e-08,1.18061548610564e-05,8.6617362976951,"CCR2","729230","C-C motif chemokine receptor 2"
"4","208891_at",-2.34083475619664,11.4884732618484,-7.73733126644365,4.72246194442257e-08,1.18061548610564e-05,8.64169105598713,"DUSP6","1848","dual specificity phosphatase 6"
"5","38037_at",2.22295888334257,8.47618894149875,7.33021204206028,1.21320773899759e-07,1.75437207037932e-05,7.73763754970696,"HBEGF","1839","heparin binding EGF like gr..."
"6","201466_s_at",3.14911779077875,9.72053733513529,7.31862282575598,1.24662765879453e-07,1.75437207037932e-05,7.71155830990779,"JUN","3725","Jun proto-oncogene, AP-1 tr..."
"7","206765_at",-2.49821635615352,6.87226470526027,-7.2888768916323,1.33678675307332e-07,1.75437207037932e-05,7.644535026659,"KCNJ2","3759","potassium inwardly rectifyi..."
"8","204141_at",2.06047195170739,8.37873269445199,7.25238547832376,1.45657137459015e-07,1.75437207037932e-05,7.56214443697813,"TUBB2A","7280","tubulin beta 2A class IIa"
"9","235151_at",-1.89394336328718,7.52206774984707,-7.21815044134794,1.57893486334139e-07,1.75437207037932e-05,7.48468022452793,NA,NA,NA
"10","219777_at",-2.1189204237072,9.96147213110712,-7.05687516054525,2.3134803443498e-07,2.3134803443498e-05,7.11759235458975,"GIMAP6","474344","GTPase, IMAP family member 6"
"11","201939_at",2.12107007324756,6.23029067062937,6.94530332800667,3.01903852775502e-07,2.38026127039191e-05,6.86157472159208,"PLK2","10769","polo like kinase 2"
"12","227361_at",-1.78928016465846,7.59334004623067,-6.88900765698082,3.45503598557839e-07,2.38026127039191e-05,6.73176688732172,"HS3ST3B1","9953","heparan sulfate-glucosamine..."
"13","222500_at",-1.84105109275574,6.82380973210955,-6.86076446610056,3.69749370082954e-07,2.38026127039191e-05,6.66648590900508,"PPIL1","51645","peptidylprolyl isomerase li..."
"14","235739_at",2.24487191086476,9.15896139468552,6.8168183186465,4.10982201827793e-07,2.38026127039191e-05,6.5647021185666,NA,NA,NA
"15","208078_s_at",2.218512079542,9.74368511567583,6.79919242674702,4.2881248912807e-07,2.38026127039191e-05,6.52380828143897,"ZEB1","6935","zinc finger E-box binding h..."
"16","208078_s_at",2.218512079542,9.74368511567583,6.79919242674702,4.2881248912807e-07,2.38026127039191e-05,6.52380828143897,"SIK1","150094","salt inducible kinase 1"
"17","208078_s_at",2.218512079542,9.74368511567583,6.79919242674702,4.2881248912807e-07,2.38026127039191e-05,6.52380828143897,"LOC102724428","102724428","salt inducible kinase 1B (p..."
"18","204621_s_at",2.83004515841139,8.8593138230813,6.78781187724046,4.40742715235264e-07,2.38026127039191e-05,6.49738293728588,"NR4A2","4929","nuclear receptor subfamily ..."
"19","201464_x_at",2.41511176192717,11.6886541747684,6.78346789897531,4.45385373153968e-07,2.38026127039191e-05,6.48729192802972,"JUN","3725","Jun proto-oncogene, AP-1 tr..."
"20","1564430_at",2.35452353776162,7.2316142886363,6.74575178652958,4.87853369668897e-07,2.38026127039191e-05,6.39957597798694,NA,NA,NA
"21","216248_s_at",2.99699343089901,8.7883078864426,6.73944724976656,4.95345465196272e-07,2.38026127039191e-05,6.38489582426244,"NR4A2","4929","nuclear receptor subfamily ..."
