"","GSM1200294","GSM1200295","GSM1200296","GSM1200297","GSM1200298","GSM1200299","GSM1200300","GSM1200301","GSM1200302","GSM1200303","GSM1200304","GSM1200305","GSM1200306","GSM1200307","GSM1200308","GSM1200309","GSM1200310","GSM1200311","GSM1200312","GSM1200313"
"A2M-AS1",9.118961083,9.605000016,10.49692763,10.95895098,10.521452,9.810726754,10.15922327,7.550815863,9.494720276,10.44789519,8.823572676,10.65663314,9.634098726,10.30630088,9.107751364,10.02805416,9.519291308,10.57294694,7.612650015,8.792072136
"AAAS",7.977700293,8.187815313,7.937641448,8.123157797,8.01317901,8.718266364,8.676568837,8.888451792,8.684428287,8.836961984,7.967671986,9.053457107,8.854408732,8.6717297,9.037521158,8.606874495,8.061268515,8.085598693,7.954310532,8.230731844
"AAK1",8.122554318,7.723008917,8.133926681,8.119928055,8.589804162,7.047392394,7.317532584,6.893042954,6.980805897,7.132882407,7.914123983,7.730828409,7.505751669,7.489096911,7.133657575,7.697621784,7.950380611,7.903441294,7.7380434,7.709351755
"AASDH",8.8185123525,8.7193108205,8.435612462,8.237262395,8.325137292,7.781817819,7.91126338,7.688495066,7.9304490865,8.072184805,7.857936068,7.885210007,7.3793693045,7.516435774,7.6853409845,7.6571502595,8.3649703165,7.882767181,7.92703359,7.85159619
"AASDHPPT",10.00545782,10.35518548,9.487047493,9.582706532,9.750689651,10.19193768,9.863526862,10.22865989,10.40251814,10.31346206,9.25431362,9.476348737,9.099884969,9.121185854,8.947606117,8.9189549,10.04152809,9.358039373,9.242306029,9.126353853
"AASS",4.930664637,5.403306881,5.710218911,5.65623079,5.049146994,4.995905071,4.721304014,4.848824302,4.524393191,4.107259748,5.205676095,4.723796692,4.810300998,4.889054421,4.719721636,4.972406849,5.560228461,5.493461502,5.445321161,5.293428193
"AATBC",9.826600462,9.849933689,8.210533497,8.115846085,8.758080967,8.943306593,8.699707317,9.7074846,8.523853356,9.029397952,7.863961395,8.544156246,8.46768557,8.177370852,8.000221564,7.479861476,8.285385358,7.91461111,8.570390879,7.709676724
"ABAT",8.719799201,9.397189106,8.5913910675,8.5066752885,8.4479589895,9.0530238135,8.781503082,8.8871046435,8.6320296795,9.0221186625,7.930053013,8.1846291925,8.153911536,8.059377135,8.7143022505,8.241657103,7.992969598,7.9672452655,8.319305596,7.9094738825
"ABCA1",6.76636789075,6.46116182425,6.298172542,6.49801894625,6.10841755875,6.83569910325,6.369424732,6.4699392225,6.4799082505,5.10160459325,6.60171075375,6.8525917085,7.77176036625,6.70042116075,6.7003725065,6.77623296975,6.6153330545,6.63586313225,6.71781457475,6.5564911015
"ABCA11P",6.014091065,6.326808378,6.276498037,6.299095032,6.677265745,6.809587847,6.248869209,6.171273645,6.81156515,6.46482626,5.589430715,6.171790473,5.670296598,5.831299039,5.86201605,5.965314959,6.248830693,5.641849528,5.859472426,6.19175371
"ABCA2",6.828846312,7.163751156,7.107768885,7.2619026095,7.0757476575,8.0573531795,7.8359535025,7.5912879455,7.4039722955,8.13766438,6.9999766395,7.5461861705,7.7606153685,7.821886408,8.0839310195,7.6457990865,6.9005736635,7.1462566145,7.0057120245,7.2131833275
